# i  X         Y         Z
172 -0.154329  0.230970  0.415735
173 -0.196424  0.196424  0.415735
174 -0.230970  0.154329  0.415735
175 -0.256640  0.106304  0.415735
176 -0.272448  0.054193  0.415735
177 -0.277785  0.000000  0.415735
178 -0.272448 -0.054193  0.415735
179 -0.256640 -0.106304  0.415735
180 -0.230970 -0.154329  0.415735
181 -0.196424 -0.196424  0.415735
182 -0.154329 -0.230970  0.415735
183 -0.106304 -0.256640  0.415735
184 -0.054193 -0.272448  0.415735
185  0.000000 -0.277785  0.415735
186  0.054193 -0.272448  0.415735
187  0.106304 -0.256640  0.415735
188  0.154329 -0.230970  0.415735
189  0.196424 -0.196424  0.415735
190  0.230970 -0.154329  0.415735
191  0.256640 -0.106304  0.415735
192  0.272448 -0.054193  0.415735
193  0.317197  0.000000  0.386505
194  0.311102  0.061882  0.386505
195  0.293051  0.121386  0.386505
196  0.263739  0.176225  0.386505
197  0.224292  0.224292  0.386505
198  0.176225  0.263739  0.386505
199  0.121386  0.293051  0.386505
200  0.061882  0.311102  0.386505
201  0.000000  0.317197  0.386505
202 -0.061882  0.311102  0.386505
203 -0.121386  0.293051  0.386505
204 -0.176225  0.263739  0.386505
205 -0.224292  0.224292  0.386505
206 -0.263739  0.176225  0.386505
207 -0.293051  0.121386  0.386505
208 -0.311102  0.061882  0.386505
209 -0.317197  0.000000  0.386505
210 -0.311102 -0.061882  0.386505
211 -0.293051 -0.121386  0.386505
212 -0.263739 -0.176225  0.386505
213 -0.224292 -0.224292  0.386505
214 -0.176225 -0.263739  0.386505
215 -0.121386 -0.293051  0.386505
216 -0.061882 -0.311102  0.386505
217  0.000000 -0.317197  0.386505
218  0.061882 -0.311102  0.386505
219  0.121386 -0.293051  0.386505
220  0.176225 -0.263739  0.386505
221  0.224292 -0.224292  0.386505
222  0.263739 -0.176225  0.386505
223  0.293051 -0.121386  0.386505
224  0.311102 -0.061882  0.386505
225  0.353553  0.000000  0.353553
226  0.346760  0.068975  0.353553
227  0.326641  0.135299  0.353553
228  0.293969  0.196424  0.353553
229  0.250000  0.250000  0.353553
230  0.196424  0.293969  0.353553
231  0.135299  0.326641  0.353553
232  0.068975  0.346760  0.353553
233  0.000000  0.353553  0.353553
234 -0.068975  0.346760  0.353553
235 -0.135299  0.326641  0.353553
236 -0.196424  0.293969  0.353553
237 -0.250000  0.250000  0.353553
238 -0.293969  0.196424  0.353553
239 -0.326641  0.135299  0.353553
240 -0.346760  0.068975  0.353553
241 -0.353553  0.000000  0.353553
242 -0.346760 -0.068975  0.353553
243 -0.326641 -0.135299  0.353553
244 -0.293969 -0.196424  0.353553
245 -0.250000 -0.250000  0.353553
246 -0.196424 -0.293969  0.353553
247 -0.135299 -0.326641  0.353553
248 -0.068975 -0.346760  0.353553
249  0.000000 -0.353553  0.353553
250  0.068975 -0.346760  0.353553
251  0.135299 -0.326641  0.353553
252  0.196424 -0.293969  0.353553
253  0.250000 -0.250000  0.353553
254  0.293969 -0.196424  0.353553
255  0.326641 -0.135299  0.353553
256  0.346760 -0.068975  0.353553
257  0.386505  0.000000  0.317197
258  0.379079  0.075403  0.317197
259  0.357084  0.147909  0.317197
260  0.321367  0.214731  0.317197
261  0.273300  0.273300  0.317197
262  0.214731  0.321367  0.317197
263  0.147909  0.357084  0.317197
264  0.075403  0.379079  0.317197
265  0.000000  0.386505  0.317197
266 -0.075403  0.379079  0.317197
267 -0.147909  0.357084  0.317197
268 -0.214731  0.321367  0.317197
269 -0.273300  0.273300  0.317197
270 -0.321367  0.214731  0.317197
271 -0.357084  0.147909  0.317197
272 -0.379079  0.075403  0.317197
273 -0.386505  0.000000  0.317197
274 -0.379079 -0.075403  0.317197
275 -0.357084 -0.147909  0.317197
276 -0.321367 -0.214731  0.317197
277 -0.273300 -0.273300  0.317197
278 -0.214731 -0.321367  0.317197
279 -0.147909 -0.357084  0.317197
280 -0.075403 -0.379079  0.317197
281  0.000000 -0.386505  0.317197
282  0.075403 -0.379079  0.317197
283  0.147909 -0.357084  0.317197
284  0.214731 -0.321367  0.317197
285  0.273300 -0.273300  0.317197
286  0.321367 -0.214731  0.317197
287  0.357084 -0.147909  0.317197
288  0.379079 -0.075403  0.317197
289  0.415735  0.000000  0.277785
290  0.407747  0.081106  0.277785
291  0.384089  0.159095  0.277785
292  0.345671  0.230970  0.277785
293  0.293969  0.293969  0.277785
294  0.230970  0.345671  0.277785
295  0.159095  0.384089  0.277785
296  0.081106  0.407747  0.277785
297  0.000000  0.415735  0.277785
298 -0.081106  0.407747  0.277785
299 -0.159095  0.384089  0.277785
300 -0.230970  0.345671  0.277785
301 -0.293969  0.293969  0.277785
302 -0.345671  0.230970  0.277785
303 -0.384089  0.159095  0.277785
304 -0.407747  0.081106  0.277785
305 -0.415735  0.000000  0.277785
306 -0.407747 -0.081106  0.277785
307 -0.384089 -0.159095  0.277785
308 -0.345671 -0.230970  0.277785
309 -0.293969 -0.293969  0.277785
310 -0.230970 -0.345671  0.277785
311 -0.159095 -0.384089  0.277785
312 -0.081106 -0.407747  0.277785
313  0.000000 -0.415735  0.277785
314  0.081106 -0.407747  0.277785
315  0.159095 -0.384089  0.277785
316  0.230970 -0.345671  0.277785
317  0.293969 -0.293969  0.277785
318  0.345671 -0.230970  0.277785
319  0.384089 -0.159095  0.277785
320  0.407747 -0.081106  0.277785
321  0.440961  0.000000  0.235698
322  0.432488  0.086027  0.235698
323  0.407395  0.168748  0.235698
324  0.366645  0.244985  0.235698
325  0.311806  0.311806  0.235698
326  0.244985  0.366645  0.235698
327  0.168748  0.407395  0.235698
328  0.086027  0.432488  0.235698
329  0.000000  0.440961  0.235698
330 -0.086027  0.432488  0.235698
331 -0.168748  0.407395  0.235698
332 -0.244985  0.366645  0.235698
333 -0.311806  0.311806  0.235698
334 -0.366645  0.244985  0.235698
335 -0.407395  0.168748  0.235698
336 -0.432488  0.086027  0.235698
337 -0.440961  0.000000  0.235698
338 -0.432488 -0.086027  0.235698
339 -0.407395 -0.168748  0.235698
340 -0.366645 -0.244985  0.235698
341 -0.311806 -0.311806  0.235698
342 -0.244985 -0.366645  0.235698
343 -0.168748 -0.407395  0.235698
344 -0.086027 -0.432488  0.235698
345  0.000000 -0.440961  0.235698
346  0.086027 -0.432488  0.235698
347  0.168748 -0.407395  0.235698
348  0.244985 -0.366645  0.235698
349  0.311806 -0.311806  0.235698
350  0.366645 -0.244985  0.235698
351  0.407395 -0.168748  0.235698
352  0.432488 -0.086027  0.235698
353  0.461940  0.000000  0.191342
354  0.453064  0.090120  0.191342
355  0.426777  0.176777  0.191342
356  0.384089  0.256640  0.191342
357  0.326641  0.326641  0.191342
358  0.256640  0.384089  0.191342
359  0.176777  0.426777  0.191342
360  0.090120  0.453064  0.191342
361  0.000000  0.461940  0.191342
362 -0.090120  0.453064  0.191342
363 -0.176777  0.426777  0.191342
364 -0.256640  0.384089  0.191342
365 -0.326641  0.326641  0.191342
366 -0.384089  0.256640  0.191342
367 -0.426777  0.176777  0.191342
368 -0.453064  0.090120  0.191342
369 -0.461940  0.000000  0.191342
370 -0.453064 -0.090120  0.191342
371 -0.426777 -0.176777  0.191342
372 -0.384089 -0.256640  0.191342
373 -0.326641 -0.326641  0.191342
374 -0.256640 -0.384089  0.191342
375 -0.176777 -0.426777  0.191342
376 -0.090120 -0.453064  0.191342
377  0.000000 -0.461940  0.191342
378  0.090120 -0.453064  0.191342
379  0.176777 -0.426777  0.191342
380  0.256640 -0.384089  0.191342
381  0.326641 -0.326641  0.191342
382  0.384089 -0.256640  0.191342
383  0.426777 -0.176777  0.191342
384  0.453064 -0.090120  0.191342
385  0.478470  0.000000  0.145142
386  0.469276  0.093345  0.145142
387  0.442049  0.183103  0.145142
388  0.397833  0.265824  0.145142
389  0.338330  0.338330  0.145142
390  0.265824  0.397833  0.145142
391  0.183103  0.442049  0.145142
392  0.093345  0.469276  0.145142
393  0.000000  0.478470  0.145142
394 -0.093345  0.469276  0.145142
395 -0.183103  0.442049  0.145142
396 -0.265824  0.397833  0.145142
397 -0.338330  0.338330  0.145142
398 -0.397833  0.265824  0.145142
399 -0.442049  0.183103  0.145142
400 -0.469276  0.093345  0.145142
401 -0.478470  0.000000  0.145142
402 -0.469276 -0.093345  0.145142
403 -0.442049 -0.183103  0.145142
404 -0.397833 -0.265824  0.145142
405 -0.338330 -0.338330  0.145142
406 -0.265824 -0.397833  0.145142
407 -0.183103 -0.442049  0.145142
408 -0.093345 -0.469276  0.145142
409  0.000000 -0.478470  0.145142
410  0.093345 -0.469276  0.145142
411  0.183103 -0.442049  0.145142
412  0.265824 -0.397833  0.145142
413  0.338330 -0.338330  0.145142
414  0.397833 -0.265824  0.145142
415  0.442049 -0.183103  0.145142
416  0.469276 -0.093345  0.145142
417  0.490393  0.000000  0.097545
418  0.480970  0.095671  0.097545
419  0.453064  0.187665  0.097545
420  0.407747  0.272448  0.097545
421  0.346760  0.346760  0.097545
422  0.272448  0.407747  0.097545
423  0.187665  0.453064  0.097545
424  0.095671  0.480970  0.097545
425  0.000000  0.490393  0.097545
426 -0.095671  0.480970  0.097545
427 -0.187665  0.453064  0.097545
428 -0.272448  0.407747  0.097545
429 -0.346760  0.346760  0.097545
430 -0.407747  0.272448  0.097545
431 -0.453064  0.187665  0.097545
432 -0.480970  0.095671  0.097545
433 -0.490393  0.000000  0.097545
434 -0.480970 -0.095671  0.097545
435 -0.453064 -0.187665  0.097545
436 -0.407747 -0.272448  0.097545
437 -0.346760 -0.346760  0.097545
438 -0.272448 -0.407747  0.097545
439 -0.187665 -0.453064  0.097545
440 -0.095671 -0.480970  0.097545
441  0.000000 -0.490393  0.097545
442  0.095671 -0.480970  0.097545
443  0.187665 -0.453064  0.097545
444  0.272448 -0.407747  0.097545
445  0.346760 -0.346760  0.097545
446  0.407747 -0.272448  0.097545
447  0.453064 -0.187665  0.097545
448  0.480970 -0.095671  0.097545
449  0.497592  0.000000  0.049009
450  0.488031  0.097075  0.049009
451  0.459715  0.190420  0.049009
452  0.413733  0.276448  0.049009
453  0.351851  0.351851  0.049009
454  0.276448  0.413733  0.049009
455  0.190420  0.459715  0.049009
456  0.097075  0.488031  0.049009
457  0.000000  0.497592  0.049009
458 -0.097075  0.488031  0.049009
459 -0.190420  0.459715  0.049009
460 -0.276448  0.413733  0.049009
461 -0.351851  0.351851  0.049009
462 -0.413733  0.276448  0.049009
463 -0.459715  0.190420  0.049009
464 -0.488031  0.097075  0.049009
465 -0.497592  0.000000  0.049009
466 -0.488031 -0.097075  0.049009
467 -0.459715 -0.190420  0.049009
468 -0.413733 -0.276448  0.049009
469 -0.351851 -0.351851  0.049009
470 -0.276448 -0.413733  0.049009
471 -0.190420 -0.459715  0.049009
472 -0.097075 -0.488031  0.049009
473  0.000000 -0.497592  0.049009
474  0.097075 -0.488031  0.049009
475  0.190420 -0.459715  0.049009
476  0.276448 -0.413733  0.049009
477  0.351851 -0.351851  0.049009
478  0.413733 -0.276448  0.049009
479  0.459715 -0.190420  0.049009
480  0.488031 -0.097075  0.049009
481  0.500000  0.000000  0.000000
482  0.490393  0.097545  0.000000
483  0.461940  0.191342  0.000000
484  0.415735  0.277785  0.000000
485  0.353553  0.353553  0.000000
486  0.277785  0.415735  0.000000
487  0.191342  0.461940  0.000000
488  0.097545  0.490393  0.000000
489  0.000000  0.500000  0.000000
490 -0.097545  0.490393  0.000000
491 -0.191342  0.461940  0.000000
492 -0.277785  0.415735  0.000000
493 -0.353553  0.353553  0.000000
494 -0.415735  0.277785  0.000000
495 -0.461940  0.191342  0.000000
496 -0.490393  0.097545  0.000000
497 -0.500000  0.000000  0.000000
498 -0.490393 -0.097545  0.000000
499 -0.461940 -0.191342  0.000000
500 -0.415735 -0.277785  0.000000
501 -0.353553 -0.353553  0.000000
502 -0.277785 -0.415735  0.000000
503 -0.191342 -0.461940  0.000000
504 -0.097545 -0.490393  0.000000
505  0.000000 -0.500000  0.000000
506  0.097545 -0.490393  0.000000
507  0.191342 -0.461940  0.000000
508  0.277785 -0.415735  0.000000
509  0.353553 -0.353553  0.000000
510  0.415735 -0.277785  0.000000
511  0.461940 -0.191342  0.000000
512  0.490393 -0.097545  0.000000
513  0.497592  0.000000 -0.049009
514  0.488031  0.097075 -0.049009
515  0.459715  0.190420 -0.049009
516  0.413733  0.276448 -0.049009
517  0.351851  0.351851 -0.049009
518  0.276448  0.413733 -0.049009
519  0.190420  0.459715 -0.049009
520  0.097075  0.488031 -0.049009
521  0.000000  0.497592 -0.049009
522 -0.097075  0.488031 -0.049009
523 -0.190420  0.459715 -0.049009
524 -0.276448  0.413733 -0.049009
525 -0.351851  0.351851 -0.049009
526 -0.413733  0.276448 -0.049009
527 -0.459715  0.190420 -0.049009
528 -0.488031  0.097075 -0.049009
529 -0.497592  0.000000 -0.049009
530 -0.488031 -0.097075 -0.049009
531 -0.459715 -0.190420 -0.049009
532 -0.413733 -0.276448 -0.049009
533 -0.351851 -0.351851 -0.049009
534 -0.276448 -0.413733 -0.049009
535 -0.190420 -0.459715 -0.049009
536 -0.097075 -0.488031 -0.049009
537  0.000000 -0.497592 -0.049009
538  0.097075 -0.488031 -0.049009
539  0.190420 -0.459715 -0.049009
540  0.276448 -0.413733 -0.049009
541  0.351851 -0.351851 -0.049009
542  0.413733 -0.276448 -0.049009
543  0.459715 -0.190420 -0.049009
544  0.488031 -0.097075 -0.049009
545  0.490393  0.000000 -0.097545
546  0.480970  0.095671 -0.097545
547  0.453064  0.187665 -0.097545
548  0.407747  0.272448 -0.097545
549  0.346760  0.346760 -0.097545
550  0.272448  0.407747 -0.097545
551  0.187665  0.453064 -0.097545
552  0.095671  0.480970 -0.097545
553  0.000000  0.490393 -0.097545
554 -0.095671  0.480970 -0.097545
555 -0.187665  0.453064 -0.097545
556 -0.272448  0.407747 -0.097545
557 -0.346760  0.346760 -0.097545
558 -0.407747  0.272448 -0.097545
559 -0.453064  0.187665 -0.097545
560 -0.480970  0.095671 -0.097545
561 -0.490393  0.000000 -0.097545
562 -0.480970 -0.095671 -0.097545
563 -0.453064 -0.187665 -0.097545
564 -0.407747 -0.272448 -0.097545
565 -0.346760 -0.346760 -0.097545
566 -0.272448 -0.407747 -0.097545
567 -0.187665 -0.453064 -0.097545
568 -0.095671 -0.480970 -0.097545
569  0.000000 -0.490393 -0.097545
570  0.095671 -0.480970 -0.097545
571  0.187665 -0.453064 -0.097545
572  0.272448 -0.407747 -0.097545
573  0.346760 -0.346760 -0.097545
574  0.407747 -0.272448 -0.097545
575  0.453064 -0.187665 -0.097545
576  0.480970 -0.095671 -0.097545
577  0.478470  0.000000 -0.145142
578  0.469276  0.093345 -0.145142
579  0.442049  0.183103 -0.145142
580  0.397833  0.265824 -0.145142
581  0.338330  0.338330 -0.145142
582  0.265824  0.397833 -0.145142
583  0.183103  0.442049 -0.145142
584  0.093345  0.469276 -0.145142
585  0.000000  0.478470 -0.145142
586 -0.093345  0.469276 -0.145142
587 -0.183103  0.442049 -0.145142
588 -0.265824  0.397833 -0.145142
589 -0.338330  0.338330 -0.145142
590 -0.397833  0.265824 -0.145142
591 -0.442049  0.183103 -0.145142
592 -0.469276  0.093345 -0.145142
593 -0.478470  0.000000 -0.145142
