# i  X         Y         Z
  0  0.000000  0.000000  0.500000
  1  0.097545  0.000000  0.490393
  2  0.090120  0.037329  0.490393
  3  0.068975  0.068975  0.490393
  4  0.037329  0.090120  0.490393
  5  0.000000  0.097545  0.490393
  6 -0.037329  0.090120  0.490393
  7 -0.068975  0.068975  0.490393
  8 -0.090120  0.037329  0.490393
  9 -0.097545  0.000000  0.490393
 10 -0.090120 -0.037329  0.490393
 11 -0.068975 -0.068975  0.490393
 12 -0.037329 -0.090120  0.490393
 13  0.000000 -0.097545  0.490393
 14  0.037329 -0.090120  0.490393
 15  0.068975 -0.068975  0.490393
 16  0.090120 -0.037329  0.490393
 17  0.191342  0.000000  0.461940
 18  0.176777  0.073223  0.461940
 19  0.135299  0.135299  0.461940
 20  0.073223  0.176777  0.461940
 21  0.000000  0.191342  0.461940
 22 -0.073223  0.176777  0.461940
 23 -0.135299  0.135299  0.461940
 24 -0.176777  0.073223  0.461940
 25 -0.191342  0.000000  0.461940
 26 -0.176777 -0.073223  0.461940
 27 -0.135299 -0.135299  0.461940
 28 -0.073223 -0.176777  0.461940
 29  0.000000 -0.191342  0.461940
 30  0.073223 -0.176777  0.461940
 31  0.135299 -0.135299  0.461940
 32  0.176777 -0.073223  0.461940
 33  0.277785  0.000000  0.415735
 34  0.256640  0.106304  0.415735
 35  0.196424  0.196424  0.415735
 36  0.106304  0.256640  0.415735
 37  0.000000  0.277785  0.415735
 38 -0.106304  0.256640  0.415735
 39 -0.196424  0.196424  0.415735
 40 -0.256640  0.106304  0.415735
 41 -0.277785  0.000000  0.415735
 42 -0.256640 -0.106304  0.415735
 43 -0.196424 -0.196424  0.415735
 44 -0.106304 -0.256640  0.415735
 45  0.000000 -0.277785  0.415735
 46  0.106304 -0.256640  0.415735
 47  0.196424 -0.196424  0.415735
 48  0.256640 -0.106304  0.415735
 49  0.353553  0.000000  0.353553
 50  0.326641  0.135299  0.353553
 51  0.250000  0.250000  0.353553
 52  0.135299  0.326641  0.353553
 53  0.000000  0.353553  0.353553
 54 -0.135299  0.326641  0.353553
 55 -0.250000  0.250000  0.353553
 56 -0.326641  0.135299  0.353553
 57 -0.353553  0.000000  0.353553
 58 -0.326641 -0.135299  0.353553
 59 -0.250000 -0.250000  0.353553
 60 -0.135299 -0.326641  0.353553
 61  0.000000 -0.353553  0.353553
 62  0.135299 -0.326641  0.353553
 63  0.250000 -0.250000  0.353553
 64  0.326641 -0.135299  0.353553
 65  0.415735  0.000000  0.277785
 66  0.384089  0.159095  0.277785
 67  0.293969  0.293969  0.277785
 68  0.159095  0.384089  0.277785
 69  0.000000  0.415735  0.277785
 70 -0.159095  0.384089  0.277785
 71 -0.293969  0.293969  0.277785
 72 -0.384089  0.159095  0.277785
 73 -0.415735  0.000000  0.277785
 74 -0.384089 -0.159095  0.277785
 75 -0.293969 -0.293969  0.277785
 76 -0.159095 -0.384089  0.277785
 77  0.000000 -0.415735  0.277785
 78  0.159095 -0.384089  0.277785
 79  0.293969 -0.293969  0.277785
 80  0.384089 -0.159095  0.277785
 81  0.461940  0.000000  0.191342
 82  0.426777  0.176777  0.191342
 83  0.326641  0.326641  0.191342
 84  0.176777  0.426777  0.191342
 85  0.000000  0.461940  0.191342
 86 -0.176777  0.426777  0.191342
 87 -0.326641  0.326641  0.191342
 88 -0.426777  0.176777  0.191342
 89 -0.461940  0.000000  0.191342
 90 -0.426777 -0.176777  0.191342
 91 -0.326641 -0.326641  0.191342
 92 -0.176777 -0.426777  0.191342
 93  0.000000 -0.461940  0.191342
 94  0.176777 -0.426777  0.191342
 95  0.326641 -0.326641  0.191342
 96  0.426777 -0.176777  0.191342
 97  0.490393  0.000000  0.097545
 98  0.453064  0.187665  0.097545
 99  0.346760  0.346760  0.097545
100  0.187665  0.453064  0.097545
101  0.000000  0.490393  0.097545
102 -0.187665  0.453064  0.097545
103 -0.346760  0.346760  0.097545
104 -0.453064  0.187665  0.097545
105 -0.490393  0.000000  0.097545
106 -0.453064 -0.187665  0.097545
107 -0.346760 -0.346760  0.097545
108 -0.187665 -0.453064  0.097545
109  0.000000 -0.490393  0.097545
110  0.187665 -0.453064  0.097545
111  0.346760 -0.346760  0.097545
112  0.453064 -0.187665  0.097545
113  0.500000  0.000000  0.000000
114  0.461940  0.191342  0.000000
115  0.353553  0.353553  0.000000
116  0.191342  0.461940  0.000000
117  0.000000  0.500000  0.000000
118 -0.191342  0.461940  0.000000
119 -0.353553  0.353553  0.000000
120 -0.461940  0.191342  0.000000
121 -0.500000  0.000000  0.000000
122 -0.461940 -0.191342  0.000000
123 -0.353553 -0.353553  0.000000
124 -0.191342 -0.461940  0.000000
125  0.000000 -0.500000  0.000000
126  0.191342 -0.461940  0.000000
127  0.353553 -0.353553  0.000000
128  0.461940 -0.191342  0.000000
129  0.490393  0.000000 -0.097545
130  0.453064  0.187665 -0.097545
131  0.346760  0.346760 -0.097545
132  0.187665  0.453064 -0.097545
133  0.000000  0.490393 -0.097545
134 -0.187665  0.453064 -0.097545
135 -0.346760  0.346760 -0.097545
136 -0.453064  0.187665 -0.097545
137 -0.490393  0.000000 -0.097545
138 -0.453064 -0.187665 -0.097545
139 -0.346760 -0.346760 -0.097545
140 -0.187665 -0.453064 -0.097545
141  0.000000 -0.490393 -0.097545
142  0.187665 -0.453064 -0.097545
143  0.346760 -0.346760 -0.097545
144  0.453064 -0.187665 -0.097545
145  0.461940  0.000000 -0.191342
146  0.426777  0.176777 -0.191342
147  0.326641  0.326641 -0.191342
148  0.176777  0.426777 -0.191342
149  0.000000  0.461940 -0.191342
150 -0.176777  0.426777 -0.191342
151 -0.326641  0.326641 -0.191342
152 -0.426777  0.176777 -0.191342
153 -0.461940  0.000000 -0.191342
154 -0.426777 -0.176777 -0.191342
155 -0.326641 -0.326641 -0.191342
156 -0.176777 -0.426777 -0.191342
157  0.000000 -0.461940 -0.191342
158  0.176777 -0.426777 -0.191342
159  0.326641 -0.326641 -0.191342
160  0.426777 -0.176777 -0.191342
161  0.415735  0.000000 -0.277785
162  0.384089  0.159095 -0.277785
163  0.293969  0.293969 -0.277785
164  0.159095  0.384089 -0.277785
165  0.000000  0.415735 -0.277785
166 -0.159095  0.384089 -0.277785
167 -0.293969  0.293969 -0.277785
168 -0.384089  0.159095 -0.277785
169 -0.415735  0.000000 -0.277785
170 -0.384089 -0.159095 -0.277785
171 -0.293969 -0.293969 -0.277785
172 -0.159095 -0.384089 -0.277785
173  0.000000 -0.415735 -0.277785
174  0.159095 -0.384089 -0.277785
175  0.293969 -0.293969 -0.277785
176  0.384089 -0.159095 -0.277785
177  0.353553  0.000000 -0.353553
178  0.326641  0.135299 -0.353553
179  0.250000  0.250000 -0.353553
180  0.135299  0.326641 -0.353553
181  0.000000  0.353553 -0.353553
182 -0.135299  0.326641 -0.353553
183 -0.250000  0.250000 -0.353553
184 -0.326641  0.135299 -0.353553
