# i  X         Y         Z
  0  0.000000  0.000000  0.500000
  1  0.353553  0.000000  0.353553
  2  0.000000  0.353553  0.353553
  3 -0.353553  0.000000  0.353553
  4  0.000000 -0.353553  0.353553
  5  0.500000  0.000000  0.000000
  6  0.000000  0.500000  0.000000
  7 -0.500000  0.000000  0.000000
  8  0.000000 -0.500000  0.000000
  9  0.353553  0.000000 -0.353553
 10  0.000000  0.353553 -0.353553
 11 -0.353553  0.000000 -0.353553
 12  0.000000 -0.353553 -0.353553
 13  0.000000  0.000000 -0.500000
