# i  X         Y         Z
  0  0.000000  0.000000  0.500000
  1  0.191342  0.000000  0.461940
  2  0.135299  0.135299  0.461940
  3  0.000000  0.191342  0.461940
  4 -0.135299  0.135299  0.461940
  5 -0.191342  0.000000  0.461940
  6 -0.135299 -0.135299  0.461940
  7  0.000000 -0.191342  0.461940
  8  0.135299 -0.135299  0.461940
  9  0.353553  0.000000  0.353553
 10  0.250000  0.250000  0.353553
 11  0.000000  0.353553  0.353553
 12 -0.250000  0.250000  0.353553
 13 -0.353553  0.000000  0.353553
 14 -0.250000 -0.250000  0.353553
 15  0.000000 -0.353553  0.353553
 16  0.250000 -0.250000  0.353553
 17  0.461940  0.000000  0.191342
 18  0.326641  0.326641  0.191342
 19  0.000000  0.461940  0.191342
 20 -0.326641  0.326641  0.191342
 21 -0.461940  0.000000  0.191342
 22 -0.326641 -0.326641  0.191342
 23  0.000000 -0.461940  0.191342
 24  0.326641 -0.326641  0.191342
 25  0.500000  0.000000  0.000000
 26  0.353553  0.353553  0.000000
 27  0.000000  0.500000  0.000000
 28 -0.353553  0.353553  0.000000
 29 -0.500000  0.000000  0.000000
 30 -0.353553 -0.353553  0.000000
 31  0.000000 -0.500000  0.000000
 32  0.353553 -0.353553  0.000000
 33  0.461940  0.000000 -0.191342
 34  0.326641  0.326641 -0.191342
 35  0.000000  0.461940 -0.191342
 36 -0.326641  0.326641 -0.191342
 37 -0.461940  0.000000 -0.191342
 38 -0.326641 -0.326641 -0.191342
 39  0.000000 -0.461940 -0.191342
 40  0.326641 -0.326641 -0.191342
 41  0.353553  0.000000 -0.353553
 42  0.250000  0.250000 -0.353553
 43  0.000000  0.353553 -0.353553
 44 -0.250000  0.250000 -0.353553
 45 -0.353553  0.000000 -0.353553
 46 -0.250000 -0.250000 -0.353553
 47  0.000000 -0.353553 -0.353553
 48  0.250000 -0.250000 -0.353553
 49  0.191342  0.000000 -0.461940
 50  0.135299  0.135299 -0.461940
 51  0.000000  0.191342 -0.461940
 52 -0.135299  0.135299 -0.461940
 53 -0.191342  0.000000 -0.461940
 54 -0.135299 -0.135299 -0.461940
 55  0.000000 -0.191342 -0.461940
 56  0.135299 -0.135299 -0.461940
 57  0.000000  0.000000 -0.500000
