# i  X         Y         Z
170 -1.152267 -0.477284 -0.833355
171 -0.881907 -0.881907 -0.833355
172 -0.477284 -1.152267 -0.833355
173  0.000000 -1.247204 -0.833355
174  0.477284 -1.152267 -0.833355
175  0.881907 -0.881907 -0.833355
176  1.152267 -0.477284 -0.833355
177  1.060660  0.000000 -1.060660
178  0.979922  0.405897 -1.060660
179  0.750000  0.750000 -1.060660
180  0.405897  0.979922 -1.060660
181  0.000000  1.060660 -1.060660
182 -0.405897  0.979922 -1.060660
183 -0.750000  0.750000 -1.060660
184 -0.979922  0.405897 -1.060660
185 -1.060660  0.000000 -1.060660
186 -0.979922 -0.405897 -1.060660
187 -0.750000 -0.750000 -1.060660
188 -0.405897 -0.979922 -1.060660
189  0.000000 -1.060660 -1.060660
190  0.405897 -0.979922 -1.060660
191  0.750000 -0.750000 -1.060660
192  0.979922 -0.405897 -1.060660
193  0.833355  0.000000 -1.247204
194  0.769920  0.318911 -1.247204
195  0.589271  0.589271 -1.247204
196  0.318911  0.769920 -1.247204
197  0.000000  0.833355 -1.247204
198 -0.318911  0.769920 -1.247204
199 -0.589271  0.589271 -1.247204
200 -0.769920  0.318911 -1.247204
201 -0.833355  0.000000 -1.247204
202 -0.769920 -0.318911 -1.247204
203 -0.589271 -0.589271 -1.247204
204 -0.318911 -0.769920 -1.247204
205  0.000000 -0.833355 -1.247204
206  0.318911 -0.769920 -1.247204
207  0.589271 -0.589271 -1.247204
208  0.769920 -0.318911 -1.247204
209  0.574025  0.000000 -1.385819
210  0.530330  0.219670 -1.385819
211  0.405897  0.405897 -1.385819
212  0.219670  0.530330 -1.385819
213  0.000000  0.574025 -1.385819
214 -0.219670  0.530330 -1.385819
215 -0.405897  0.405897 -1.385819
216 -0.530330  0.219670 -1.385819
217 -0.574025  0.000000 -1.385819
218 -0.530330 -0.219670 -1.385819
219 -0.405897 -0.405897 -1.385819
220 -0.219670 -0.530330 -1.385819
221  0.000000 -0.574025 -1.385819
222  0.219670 -0.530330 -1.385819
223  0.405897 -0.405897 -1.385819
224  0.530330 -0.219670 -1.385819
225  0.292635  0.000000 -1.471178
226  0.270360  0.111987 -1.471178
227  0.206925  0.206925 -1.471178
228  0.111987  0.270360 -1.471178
229  0.000000  0.292635 -1.471178
230 -0.111987  0.270360 -1.471178
231 -0.206925  0.206925 -1.471178
232 -0.270360  0.111987 -1.471178
233 -0.292635  0.000000 -1.471178
234 -0.270360 -0.111987 -1.471178
235 -0.206925 -0.206925 -1.471178
236 -0.111987 -0.270360 -1.471178
237  0.000000 -0.292635 -1.471178
238  0.111987 -0.270360 -1.471178
239  0.206925 -0.206925 -1.471178
240  0.270360 -0.111987 -1.471178
241  0.000000  0.000000 -1.500000
